,createAt,description,id,likeCount,mediatype,name,place,url
0,0001-01-01T00:00:00,ghj,2140,0,0,manoj,,http://www.youtube.com/embed/mPhboJR0Llc
1,0001-01-01T00:00:00,,3240,0,2,,,http://www.youtube.com/embed/RtFcZ6Bwolw
2,0001-01-01T00:00:00,df,2139,0,0,manoj,,http://www.youtube.com/embed/TUT2-FEPMdc
3,0001-01-01T00:00:00,,3239,0,2,,,https://www.youtube.com/watch?v=Kg8VraUgpR4
4,0001-01-01T00:00:00,dflg sk mcn re  fg nerkzx xcvh ciu ,2138,0,0,manoj,,https://www.youtube.com/watch?v=WgmgSwkTUEM
5,0001-01-01T00:00:00,,3238,0,2,,,https://www.youtube.com/watch?v=4uY4Pz0SuaM
6,0001-01-01T00:00:00,qq,2137,0,0,manoj,,feedsmedia/4051/479386d2-7bee-4100-81d6-1c8ae1aab205.jpg
7,0001-01-01T00:00:00,,3237,0,2,,,feedsmedia/4051/b33d191a-4056-4dee-ad15-7b9ffc8ec337.jpg
8,0001-01-01T00:00:00,ghj,2136,0,0,manoj,,https://www.youtube.com/embed/lR6F_Edxabw
9,0001-01-01T00:00:00,,3236,0,2,,,feedsmedia/3039/0e910f02-14fd-4cf0-a755-7eba194840d8.jpg
10,0001-01-01T00:00:00,sdf,2135,0,0,manoj,,feedsmedia/3031/1adbfd14-937c-4c06-ba00-99991eae4289.jpg
11,0001-01-01T00:00:00,,3235,0,2,,,feedsmedia/3035/60ce92d1-b037-4a45-84a5-d6635095fa50.jpg
12,0001-01-01T00:00:00,Rinku Singh (born 8 August 1988) is an Indian professional wrestler and former professional baseball player currently signed with WWE and performs in their developmental territory NXT. Singh was signed by the Pittsburgh Pirates organization after he won a pitching contest on a 2008 reality television show The Million Dollar Arm.,2134,0,0,manoj,,feedsmedia/4051/9449eb48-1377-416a-9867-ae5b9d8d884b.png
13,0001-01-01T00:00:00,,3233,0,1,rinku_singh_1570092290_800x420.jpg,,feedsmedia/3033/0df3e2d5-d903-4940-9f3f-c1cc24e7bd4a.jpg
14,0001-01-01T00:00:00,,3234,0,1,04rinku.jpg,,https://www.youtube.com/embed/LH0Ss15du3c
15,0001-01-01T00:00:00,"Jaipur is the capital of India’s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or “Pink City” for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence. Jaipur is the capital of India’s Rajasthan state. It evokes the royal family that once ruled the region and that, in 1727, founded what is now called the Old City, or “Pink City” for its trademark building color. At the center of its stately street grid (notable in India) stands the opulent, colonnaded City Palace complex. With gardens, courtyards and museums, part of it is still a royal residence.",2133,0,0,jagjit,,feedsmedia/3039/3b8092fb-310f-4083-aae7-5be6ec05ad40.jpg
16,0001-01-01T00:00:00,,3232,0,2,,,https://www.youtube.com/embed/7lfFZs50JHM
17,0001-01-01T00:00:00,LIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALL. LIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALLLIFE IS EITHER A DARING ADVENTURE OR NOTHING AT ALL,2132,0,0,jagjit,,feedsmedia/3034/507e9fb7-5524-47c9-a632-c19c42398117.jfif
18,0001-01-01T00:00:00,,3231,0,1,Delhi.jpg,,feedsmedia/3046/95e8d21a-8337-4c43-aab5-76f2aad75b8b.jpg
19,0001-01-01T00:00:00,This is new Year 2020 and we are very happy. Thank you to much. And BYE BYE 2019,2131,0,0,Ashish Thapliyal,,feedsmedia/3034/8a9dea4b-19dc-4a9a-8793-6ca3ab16152b.png
20,0001-01-01T00:00:00,,3230,0,1,Surabaya.jpg,,feedsmedia/3034/46f87048-4d82-4a84-aa29-9410f726d72f.jpg
21,0001-01-01T00:00:00,dfgdf,2130,0,0,n1,,feedsmedia/3034/eb07417f-465b-4d03-9c81-23e5a1b95606.jpg
22,0001-01-01T00:00:00,,3229,0,1,images.jpg,,feedsmedia/3034/8d632dc2-247a-4bff-93bb-e294d1f40d7b.jpg
23,0001-01-01T00:00:00,fgh,2129,0,0,manoj,,feedsmedia/3033/f656995d-7350-4e58-bd3d-b7ec2ffd684b.jpg
24,0001-01-01T00:00:00,,3228,0,1,images.png,,feedsmedia/3033/80a1ba80-bc0d-4748-b975-b34d14631abd.jpg
25,0001-01-01T00:00:00,name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...name = 'Angular';. showMore = false;. text = `Lorem Ipsum is simply dummy text. of the printing and typesetting. industry. Lorem Ipsum has been the. industry's ...,2128,0,0,sanjay,,feedsmedia/3033/922a1224-2852-40e1-b828-29f835c91f00.jpg
26,0001-01-01T00:00:00,,3227,0,1,DALHOUSIE.jpg,,feedsmedia/3033/42cfd9f9-7388-498e-8c2c-ff761610faec.jpg
27,0001-01-01T00:00:00,erter,2127,0,0,sanjay,,feedsmedia/3033/d583ea6f-178e-4ef5-be9b-0553094f0f8c.png
28,,,3226,,2,,,
29,,"इस नए साल खुशियों की बरसातें हों
प्यार के दिन और मोहब्बत भरी रातें हों
रंजिशे नफरतें मिट जाएं सदा के लिए
सभी के दिलों में ऐसी चाहतें हों
Happy New Year 2020",2126,,0,jagjit,,
30,,,3225,,1,Shubra_El-Kheima.jpg,,
31,,Youtube video,2125,,0,sanjay,,
32,,,3224,,2,,,
33,,Description,2124,,0,neha,,
34,,,3223,,1,images.jfif,,
35,,"यूं तो पूरे विश्व में नया साल अलग-अलग दिन मनाया जाता है, और भारत के अलग-अलग क्षेत्रों में भी नए साल की शुरूआत अलग-अलग समय  होती है। लेकिन अंग्रेजी कैलेंडर के अनुसार 1 जनवरी से नए साल की शुरूआत मानी जाती है। चूंकि 31 दिसंबर को एक वर्ष का अंत होने के बाद 1 जनवरी से नए अंग्रेजी कैलेंडर वर्ष की शुरूआत होती है। इसलिए इस दिन को पूरी दुनिया में नया साल शुरू होने के उपलक्ष्य में पर्व की तरह मनाया जाता है।

चूंकि साल नया है, इसलिए नई उम्मीदें, नए सपने, नए लक्ष्य, नए आईडियाज के साथ इसका स्वागत किया जाता है। नया साल मनाने के पीछे मान्यता है कि साल का पहला दिन अगर उत्साह और खुशी के साथ मनाया जाए, तो साल भर इसी उत्साह और खुशियों के साथ ही बीतेगा।

हालांकि हिन्दू पंचांग के अनुसार के मुताबिक नया साल 1 जनवरी से शुरू नहीं होता। हिन्दू नववर्ष का आगाज गुड़ी पड़वा से होता है। लेकिन 1 जनवरी को नया साल मनाना सभी धर्मों में एकता कायम करने में भी महत्वपूर्ण योगदान देता है, क्यों इसे सभी मिलकर मनाते हैं। 31  दिसंबर की रात से ही कई स्थानों पर अलग-अलग समूहों में इकट्ठा होकर लोग नए साल का जश्न मनाना शुरू कर देते हैं और रात 12 बजते ही सभी एक दूसरे को नए साल की शुभकामनाएं देते हैं। ",2123,,0,Aryan Thapliyal,,
36,,,3222,,1,Tanta.jpg,,
37,,sdfsdf,2122,,0,neha,,
38,,,3218,,1,images2.png,,
39,,,3219,,1,indraprastha-resort-dalhousie.jpg,,
40,,,3220,,1,nainital-saturday-raajiv-nainital-stand-alone-snowfall_0c6662be-d4dc-11e6-89f5-e9c163347fb8.jpg,,
41,,,3221,,1,Nainital-Snow-2013-m-2.jpg,,
42,,EDWd,2121,,0,sanjay,,
43,,,3213,,1,Christmas-2019-Messages.jpg,,
44,,,3214,,1,DALHOUSIE.jpg,,
45,,,3215,,1,dalhousie-hill-station.jpg,,
46,,,3216,,1,images 3.jpg,,
47,,,3217,,1,images.png,,
